factor,mean_rank_ic,ic_std,ic_ir,observations
volume_zscore_20,0.007600195503421308,0.33821255667375005,0.022471653856283885,496
ma_gap_20,-0.001026392961876827,0.3561429506219152,-0.002881969052270968,496
factor_score,-0.0049097030915212754,0.3504035395099039,-0.014011568200447662,495
reversal_5,-0.014569221628045153,0.34016899995747585,-0.042829363139693606,510
momentum_20,-0.018524640342822165,0.338598013406506,-0.05470983174547539,495
volatility_20,-0.022638506274869907,0.34429876924883823,-0.06575250421098128,495
rsi_14,-0.02291371994342291,0.33191305086474865,-0.06903530874644645,505
